Extraction attempted for 145 files.
Successfully processed: 145
Totally failed files: 0

============================================================
LOG OF MISSING REQUIRED FIELDS (FILES WERE PROCESSED)
============================================================

[RBPR-139106-2025.json] Missing/Empty: summary.Result[38].ScheduledStartDate
[RBPR-139106-2025.json] Missing/Empty: summary.Result[39].ActivityStatusName
[RBPR-139106-2025.json] Missing/Empty: summary.Result[39].ScheduledStartDate
[RBPR-139106-2025.json] Missing/Empty: summary.Result[40].ActivityStatusName
[RBPR-139106-2025.json] Missing/Empty: summary.Result[40].ScheduledStartDate
[RBPR-139106-2025.json] Missing/Empty: summary.Result[41].ActivityStatusName
[RBPR-139106-2025.json] Missing/Empty: summary.Result[41].ScheduledStartDate
[RBPR-139106-2025.json] Missing/Empty: summary.Result[46].ActivityStatusName
[RBPR-139106-2025.json] Missing/Empty: summary.Result[46].CompletedOn
[RBPR-139106-2025.json] Missing/Empty: summary.Result[46].ScheduledStartDate
[RBPR-139106-2025.json] Missing/Empty: summary.Result[47].ActivityStatusName
[RBPR-139106-2025.json] Missing/Empty: summary.Result[47].CompletedOn
[RBPR-139106-2025.json] Missing/Empty: summary.Result[47].ScheduledStartDate
[RBPR-139106-2025.json] Missing/Empty: summary.Result[48].ActivityStatusName
[RBPR-139106-2025.json] Missing/Empty: summary.Result[48].CompletedOn
[RBPR-139106-2025.json] Missing/Empty: summary.Result[48].ScheduledStartDate
[RBPR-139106-2025.json] Missing/Empty: summary.Result[49].ActivityStatusName
[RBPR-139106-2025.json] Missing/Empty: summary.Result[49].CompletedOn
[RBPR-139106-2025.json] Missing/Empty: summary.Result[49].ScheduledStartDate
[RBPR-139106-2025.json] Missing/Empty: summary.Result[50].ActivityStatusName
[RBPR-139106-2025.json] Missing/Empty: summary.Result[50].CompletedOn
[RBPR-139106-2025.json] Missing/Empty: summary.Result[50].ScheduledStartDate
[RBPR-139106-2025.json] Missing/Empty: summary.Result[51].ActivityStatusName
[RBPR-139106-2025.json] Missing/Empty: summary.Result[51].CompletedOn
[RBPR-139106-2025.json] Missing/Empty: summary.Result[51].ScheduledStartDate
[RBPR-139106-2025.json] Missing/Empty: summary.Result[52].ActivityStatusName
[RBPR-139106-2025.json] Missing/Empty: summary.Result[52].CompletedOn
[RBPR-139106-2025.json] Missing/Empty: summary.Result[52].ScheduledStartDate
[RBPR-140144-2025.json] Missing/Empty: permit.FinalizeDate
[RBPR-140144-2025.json] Missing/Empty: permit.ProjectName
[RBPR-140144-2025.json] Missing/Empty: permit.MainAddressInfo.AddressLine3
[RBPR-140144-2025.json] Missing/Empty: permit.MainAddressInfo.State
[RBPR-140144-2025.json] Missing/Empty: permit.MainAddressInfo.County
[RBPR-140144-2025.json] Missing/Empty: permit.MainAddressInfo.Country
[RBPR-140144-2025.json] Missing/Empty: contacts.Result[4].Title
[RBPR-140144-2025.json] Missing/Empty: inspections.Result[0].WorkflowActionId
[RBPR-140144-2025.json] Missing/Empty: inspections.Result[1].WorkflowActionId
[RBPR-140144-2025.json] Missing/Empty: inspections.Result[2].WorkflowActionId
[RBPR-140144-2025.json] Missing/Empty: inspections.Result[3].WorkflowActionId
[RBPR-140144-2025.json] Missing/Empty: inspections.Result[4].WorkflowActionId
[RBPR-140144-2025.json] Missing/Empty: inspections.Result[5].WorkflowActionId
[RBPR-140144-2025.json] Missing/Empty: inspections.Result[6].WorkflowActionId
[RBPR-140144-2025.json] Missing/Empty: inspections.Result[7].WorkflowActionId
[RBPR-140144-2025.json] Missing/Empty: inspections.Result[8].WorkflowActionId
[RBPR-140144-2025.json] Missing/Empty: inspections.Result[9].WorkflowActionId
[RBPR-140144-2025.json] Missing/Empty: inspections.Result[10].WorkflowActionId
[RBPR-140144-2025.json] Missing/Empty: inspections.Result[11].WorkflowActionId
[RBPR-140144-2025.json] Missing/Empty: inspections.Result[12].WorkflowActionId
[RBPR-140144-2025.json] Missing/Empty: inspections.Result[13].WorkflowActionId
[RBPR-140144-2025.json] Missing/Empty: inspections.Result[14].WorkflowActionId
[RBPR-140144-2025.json] Missing/Empty: inspections.Result[15].WorkflowActionId
[RBPR-140144-2025.json] Missing/Empty: inspections.Result[16].WorkflowActionId
[RBPR-140144-2025.json] Missing/Empty: inspections.Result[17].WorkflowActionId
[RBPR-140144-2025.json] Missing/Empty: inspections.Result[18].WorkflowActionId
[RBPR-140144-2025.json] Missing/Empty: inspections.Result[19].WorkflowActionId
[RBPR-140144-2025.json] Missing/Empty: inspections.Result[20].WorkflowActionId
[RBPR-140144-2025.json] Missing/Empty: inspections.Result[21].WorkflowActionId
[RBPR-140144-2025.json] Missing/Empty: inspections.Result[22].WorkflowActionId
[RBPR-140144-2025.json] Missing/Empty: summary.Result[0].ActivityStatusName
[RBPR-140144-2025.json] Missing/Empty: summary.Result[0].CompletedOn
[RBPR-140144-2025.json] Missing/Empty: summary.Result[0].ScheduledStartDate
[RBPR-140144-2025.json] Missing/Empty: summary.Result[1].ActivityStatusName
[RBPR-140144-2025.json] Missing/Empty: summary.Result[1].CompletedOn
[RBPR-140144-2025.json] Missing/Empty: summary.Result[1].ScheduledStartDate
[RBPR-140144-2025.json] Missing/Empty: summary.Result[2].ActivityStatusName
[RBPR-140144-2025.json] Missing/Empty: summary.Result[2].ScheduledStartDate
[RBPR-140144-2025.json] Missing/Empty: summary.Result[3].ActivityStatusName
[RBPR-140144-2025.json] Missing/Empty: summary.Result[3].ScheduledStartDate
[RBPR-140144-2025.json] Missing/Empty: summary.Result[4].ActivityStatusName
[RBPR-140144-2025.json] Missing/Empty: summary.Result[4].ScheduledStartDate
[RBPR-140144-2025.json] Missing/Empty: summary.Result[5].ActivityStatusName
[RBPR-140144-2025.json] Missing/Empty: summary.Result[5].ScheduledStartDate
[RBPR-140144-2025.json] Missing/Empty: summary.Result[6].ActivityStatusName
[RBPR-140144-2025.json] Missing/Empty: summary.Result[6].ScheduledStartDate
[RBPR-140144-2025.json] Missing/Empty: summary.Result[25].ActivityStatusName
[RBPR-140144-2025.json] Missing/Empty: summary.Result[25].ScheduledStartDate
[RBPR-140144-2025.json] Missing/Empty: summary.Result[31].ActivityStatusName
[RBPR-140144-2025.json] Missing/Empty: summary.Result[31].CompletedOn
[RBPR-140144-2025.json] Missing/Empty: summary.Result[31].ScheduledStartDate
[RBPR-140144-2025.json] Missing/Empty: summary.Result[32].ActivityStatusName
[RBPR-140144-2025.json] Missing/Empty: summary.Result[32].CompletedOn
[RBPR-140144-2025.json] Missing/Empty: summary.Result[32].ScheduledStartDate
